Negativicutes	sk__Bacteria.p__Firmicutes.c__Negativicutes	sk__Bacteria.nr__Terrabacteria_group.p__Firmicutes.c__Negativicutes
Neisseriales	sk__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales	sk__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales
Nematocera	sk__Eukaryota.k__Metazoa.p__Arthropoda.c__Insecta.o__Diptera.nr__unclassified_Nematocera	sk__Eukaryota.nr__Opisthokonta.k__Metazoa.nr__Eumetazoa.nr__Bilateria.nr__Protostomia.nr__Ecdysozoa.nr__Panarthropoda.p__Arthropoda.nr__Mandibulata.nr__Pancrustacea.c__Insecta.nr__Dicondylia.o__Diptera.nr__unclassified_Nematocera
Nematoda	sk__Eukaryota.k__Metazoa.p__Nematoda	sk__Eukaryota.nr__Opisthokonta.k__Metazoa.nr__Eumetazoa.nr__Bilateria.nr__Protostomia.nr__Ecdysozoa.p__Nematoda
Nidovirales	sk__Viruses.o__Nidovirales	sk__Viruses.nr__Riboviria.o__Nidovirales
Nitrosomonadales	sk__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Nitrosomonadales	sk__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Nitrosomonadales
Nitrospirae	sk__Bacteria.p__Nitrospirae	sk__Bacteria.p__Nitrospirae
Nocardiaceae	sk__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Nocardiaceae	sk__Bacteria.nr__Terrabacteria_group.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Nocardiaceae
Nonlabens	sk__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Nonlabens	sk__Bacteria.nr__FCB_group.nr__Bacteroidetes/Chlorobi_group.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Nonlabens
Nostocales	sk__Bacteria.p__Cyanobacteria.o__Nostocales	sk__Bacteria.nr__Terrabacteria_group.nr__Cyanobacteria/Melainabacteria_group.p__Cyanobacteria.o__Nostocales
Oceanicola	sk__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Oceanicola	sk__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Oceanicola
Oceanobacillus	sk__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Oceanobacillus	sk__Bacteria.nr__Terrabacteria_group.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Oceanobacillus
Oceanospirillales	sk__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales	sk__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales
